,model,test_score
0,KNeighborsClassifier,0.9210526315789473
1,RandomForestClassifier,0.9649122807017544
2,SVC,0.9210526315789473
3,DecisionTreeClassifier,0.8947368421052632
4,LogisticRegression,0.956140350877193
5,GaussianNB,0.9298245614035088
6,AdaBoostClassifier,0.9649122807017544
7,GradientBoostingClassifier,0.956140350877193
8,XGBClassifier,0.9385964912280702
9,LinearSVC,0.9736842105263158
